#Npara Msize optCut diagCut sDiagMax  sDiagMin    absRmax       imax
 1654  1648     0     6  2.58181e+01  0.00000e+00  1.97339e-01   333
 1654  1648     0     6  2.62042e+01  0.00000e+00  1.79619e-01   333
 1654  1648     0     6  2.56440e+01  0.00000e+00  1.71594e-01   333
 1654  1648     0     6  2.71506e+01  0.00000e+00  1.73057e-01   333
 1654  1648     0     6  2.59753e+01  0.00000e+00 -1.52623e-01   276
 1654  1648     0     6  2.54657e+01  0.00000e+00 -1.42158e-01   276
 1654  1648     0     6  2.57546e+01  0.00000e+00 -1.33323e-01   131
 1654  1648     0     6  2.57178e+01  0.00000e+00  1.32564e-01   303
 1654  1648     0     6  2.62042e+01  0.00000e+00  1.28885e-01   274
 1654  1648     0     6  2.61907e+01  0.00000e+00  1.18265e-01   184
 1654  1648     0     6  2.61471e+01  0.00000e+00  1.23669e-01   274
 1654  1648     0     6  2.61217e+01  0.00000e+00 -1.04319e-01   276
 1654  1648     0     6  2.58999e+01  0.00000e+00  1.03316e-01   274
 1654  1648     0     6  2.64750e+01  0.00000e+00  9.52170e-02   274
 1654  1648     0     6  2.63150e+01  0.00000e+00  8.59615e-02   274
 1654  1648     0     6  2.59127e+01  0.00000e+00  8.53945e-02   274
 1654  1648     0     6  2.65790e+01  0.00000e+00  7.42981e-02   274
 1654  1648     0     6  2.64184e+01  0.00000e+00  6.88223e-02   274
 1654  1648     0     6  2.64400e+01  0.00000e+00  6.72698e-02   274
 1654  1648     0     6  2.66293e+01  0.00000e+00 -5.86736e-02   340
